,id,age,height_cm,weight_kgs,value_euro,finishing,dribbling,volleys,acceleration,crossing,heading_accuracy,body_type,overall_rating
12065,242021,21,182.88,74.8,1200000.0,43,66,58,65,66,57,Lean,67
7259,243049,18,154.94,67.1,400000.0,44,57,47,69,57,56,Lean,60
8740,224449,28,175.26,64.9,375000.0,50,74,37,76,58,33,Lean,63
4791,243092,20,185.42,74.8,60000.0,34,45,31,60,50,40,Normal,51
8958,213621,25,182.88,77.1,500000.0,64,62,54,67,34,61,Stocky,63
5309,237952,20,182.88,74.8,100000.0,51,43,44,60,22,51,Lean,53
669,192667,30,187.96,79.8,4100000.0,27,68,44,67,74,64,Lean,74
13237,223207,26,187.96,83.0,,36,32,30,57,49,70,Normal,69
10082,247287,25,185.42,74.8,725000.0,66,64,49,67,36,70,Lean,65
10814,239357,25,187.96,74.8,825000.0,56,70,52,82,62,51,Lean,66
10504,213604,33,170.18,69.9,400000.0,27,54,47,46,58,37,Normal,65
11287,218729,24,175.26,73.0,750000.0,50,72,41,77,69,51,Normal,66
13534,199283,29,175.26,64.9,825000.0,64,67,61,81,75,54,Lean,69
10759,214028,28,152.4,74.8,575000.0,68,63,54,74,48,59,Normal,65
11597,238593,23,182.88,76.2,750000.0,41,51,37,60,39,55,Normal,66
17136,216796,26,170.18,64.9,10500000.0,75,79,59,79,75,53,Lean,77
13946,212440,27,170.18,63.0,2000000.0,59,73,59,76,65,46,Normal,70
14672,207553,27,182.88,76.2,2400000.0,63,68,65,70,60,42,Normal,71
11209,230786,20,185.42,69.9,1400000.0,55,65,48,51,64,41,Lean,66
13415,229793,21,193.04,89.8,1700000.0,66,73,54,71,43,65,Normal,69
13911,215267,27,190.5,89.8,2100000.0,78,66,58,34,42,77,Normal,70
216,215716,24,187.96,82.1,14000000.0,78,66,76,60,29,85,Stocky,78
14038,213170,28,187.96,78.0,1500000.0,54,59,57,69,58,59,Normal,70
17953,247187,19,190.5,79.8,325000.0,58,58,39,67,32,58,Normal,59
9567,230044,26,154.94,69.9,550000.0,54,63,34,66,62,47,Lean,64
16412,220714,22,198.12,79.8,7500000.0,64,72,68,58,64,72,Lean,74
4931,245542,18,182.88,83.0,50000.0,7,11,9,26,13,12,Normal,49
7498,242404,22,175.26,72.1,375000.0,34,60,30,76,59,47,Lean,61
3553,212800,27,152.4,72.1,300000.0,36,59,60,64,45,67,Normal,62
11127,206492,26,182.88,73.0,825000.0,69,67,55,72,64,59,Normal,66
8510,172573,31,172.72,68.0,200000.0,52,59,49,66,58,54,Lean,62
10753,222477,21,172.72,59.9,825000.0,48,65,40,70,50,44,Lean,65
10069,235514,24,187.96,79.8,625000.0,20,26,25,63,31,63,Normal,65
10548,193875,28,170.18,68.0,450000.0,23,63,43,78,60,48,Lean,65
453,215334,27,190.5,87.1,8000000.0,75,70,76,57,34,83,Normal,75
4896,244817,18,193.04,79.8,40000.0,9,5,7,16,12,10,Lean,48
17619,206545,27,152.4,74.8,17000000.0,69,77,63,67,72,74,Lean,80
1372,197689,28,190.5,79.8,1400000.0,12,12,11,30,13,12,Lean,70
8207,222621,25,185.42,74.8,290000.0,14,19,15,45,12,11,Normal,62
14230,230243,35,175.26,78.0,550000.0,41,67,46,49,56,66,Stocky,70
6645,213502,24,182.88,86.2,180000.0,23,50,26,48,51,56,Normal,59
12591,195258,30,182.88,78.0,675000.0,42,58,62,64,65,59,Normal,68
3317,236890,19,175.26,73.0,800000.0,46,63,37,68,55,39,Lean,63
14367,215344,34,182.88,83.0,725000.0,33,45,45,64,48,75,Normal,70
12578,201408,30,182.88,77.1,675000.0,41,57,37,78,67,65,Normal,68
9438,241606,23,170.18,68.0,575000.0,28,62,36,71,63,46,Normal,64
6279,243484,21,190.5,79.8,160000.0,8,10,7,18,11,11,Normal,57
6152,242047,20,167.64,57.2,230000.0,49,58,34,74,54,47,Lean,57
17768,205452,26,190.5,84.8,22500000.0,32,60,34,67,68,80,Lean,82
3831,244105,21,152.4,64.0,450000.0,63,59,52,68,33,64,Lean,61
10410,243590,26,175.26,66.2,550000.0,44,70,43,75,69,51,Lean,65
6578,228402,22,185.42,68.0,180000.0,58,62,49,71,45,45,Lean,58
6473,244090,20,185.42,82.1,170000.0,6,10,8,26,11,15,Normal,58
13053,242216,22,175.26,64.0,1400000.0,52,70,63,73,53,48,Normal,68
6659,228858,20,175.26,69.9,240000.0,48,58,45,65,54,44,Lean,59
16014,230175,27,187.96,83.0,2800000.0,11,21,15,42,19,17,Normal,73
9370,202207,30,152.4,69.9,,64,64,60,71,58,61,Normal,64
8990,196972,27,195.58,89.8,375000.0,33,32,23,42,39,66,Normal,63
12739,234381,25,182.88,83.0,1000000.0,38,44,25,64,30,64,Lean,68
13965,208335,26,182.88,73.0,1700000.0,44,59,50,67,67,63,Lean,70
774,232543,41,185.42,81.2,270000.0,19,14,9,24,12,10,Normal,73
16155,239301,21,152.4,69.9,7000000.0,26,66,29,67,32,70,Normal,74
10086,193014,27,154.94,79.8,450000.0,40,65,31,80,62,54,Lean,65
6806,213653,23,185.42,83.9,220000.0,23,37,21,50,29,62,Normal,59
3457,244434,25,185.42,74.8,400000.0,37,50,43,64,53,62,Normal,63
8393,223821,31,185.42,81.2,230000.0,19,23,24,43,22,67,Normal,62
8272,238208,23,190.5,78.0,400000.0,25,43,30,72,29,54,Normal,62
15948,225356,26,167.64,63.0,4700000.0,64,78,49,91,69,44,Lean,73
5737,245285,19,152.4,74.8,150000.0,49,60,56,68,51,19,Normal,55
5874,233629,22,154.94,69.9,140000.0,24,28,23,55,30,52,Normal,56
12712,200087,33,170.18,72.1,575000.0,68,65,71,75,50,67,Normal,68
3435,207558,28,185.42,73.9,375000.0,58,65,55,71,65,54,Lean,63
15643,188413,32,172.72,68.0,2700000.0,46,66,66,69,65,55,Normal,73
12333,197391,30,154.94,73.0,575000.0,56,62,59,71,65,66,Normal,67
9954,207646,24,152.4,79.8,475000.0,35,58,35,72,60,58,Normal,64
12009,242041,22,154.94,73.9,1000000.0,57,66,58,85,63,62,Normal,67
8954,194678,27,190.5,89.8,375000.0,15,38,18,59,35,61,Normal,63
558,169181,33,154.94,78.0,3800000.0,13,25,11,60,13,16,Normal,75
6338,245994,17,154.94,69.9,250000.0,51,56,42,62,52,44,Normal,58
2470,204622,26,182.88,78.0,675000.0,34,44,25,71,25,68,Normal,66
13231,184040,28,187.96,84.8,925000.0,20,13,13,51,8,12,Normal,69
5475,243071,22,154.94,64.0,100000.0,57,45,37,65,30,53,Lean,54
7400,237850,21,165.1,64.0,450000.0,54,60,34,82,36,43,Stocky,60
15066,200461,29,175.26,69.9,2400000.0,66,66,56,94,65,45,Normal,71
8093,152523,32,193.04,87.1,170000.0,16,11,14,39,13,14,Normal,62
13969,230094,26,182.88,76.2,2300000.0,69,66,72,67,56,75,Normal,70
4111,243279,18,165.1,64.9,270000.0,30,61,37,68,61,52,Lean,59
15879,207725,26,190.5,83.0,4200000.0,42,45,26,34,41,80,Normal,73
4400,239534,21,154.94,69.9,200000.0,49,63,43,65,53,50,Normal,57
7151,213678,22,190.5,78.0,230000.0,14,16,13,49,12,15,Lean,60
4174,242131,23,182.88,77.1,170000.0,6,6,9,21,14,13,Normal,59
9529,233643,26,190.5,84.8,450000.0,38,41,32,63,45,74,Normal,64
9064,234831,23,182.88,79.8,425000.0,33,62,37,67,58,61,Lean,63
17470,189423,30,187.96,79.8,10000000.0,55,71,44,68,63,75,Normal,79
13452,242324,25,182.88,73.0,1300000.0,68,71,57,67,64,53,Lean,69
13999,221121,23,175.26,68.0,2800000.0,69,74,71,77,48,49,Lean,70
5522,244279,19,154.94,77.1,150000.0,54,61,49,65,52,37,Lean,54
952,211292,31,187.96,81.2,3000000.0,76,56,62,70,43,85,Stocky,72
8869,222870,22,175.26,72.1,575000.0,46,67,41,78,67,31,Lean,63
14723,188071,27,172.72,66.2,2500000.0,53,71,63,84,75,31,Lean,71
13468,229260,25,154.94,76.2,1300000.0,60,71,59,82,67,39,Lean,69
15044,208919,23,170.18,60.8,3500000.0,57,75,66,84,67,46,Lean,71
12469,210147,31,175.26,74.8,650000.0,45,65,40,76,68,54,Normal,68
1035,212680,24,175.26,60.8,4300000.0,62,77,49,90,71,39,Lean,72
10578,221511,27,198.12,97.1,650000.0,62,55,62,61,38,72,Normal,65
15960,226877,23,152.4,72.1,5500000.0,67,79,66,84,70,48,Lean,73
4379,231513,20,172.72,66.2,220000.0,35,59,40,65,51,38,Normal,57
3257,214550,26,162.56,59.0,450000.0,53,65,48,90,58,50,Normal,63
8371,246617,20,175.26,64.9,650000.0,55,63,52,66,58,31,Lean,62
8131,221369,26,152.4,68.9,350000.0,57,63,37,80,60,51,Lean,62
1879,228668,28,175.26,72.1,925000.0,69,66,55,76,50,68,Normal,68
3923,242703,21,185.42,83.9,280000.0,7,15,8,21,11,15,Normal,60
13149,234505,20,152.4,72.1,2000000.0,65,70,48,75,67,41,Lean,68
599,194359,32,170.18,68.0,3700000.0,46,65,45,89,72,57,Lean,74
1130,202052,26,182.88,78.0,3000000.0,74,64,70,75,46,64,Normal,71
13807,199692,29,182.88,73.0,950000.0,37,56,34,55,49,72,Lean,69
13004,214840,24,182.88,78.9,1000000.0,44,53,31,63,37,59,Stocky,68
15747,158394,32,185.42,83.0,2600000.0,65,67,70,68,71,58,Normal,73
9159,202795,25,175.26,66.2,400000.0,27,52,16,77,60,62,Lean,63
11944,224140,31,154.94,83.0,575000.0,47,51,43,77,55,46,Normal,67
10124,220650,24,187.96,86.2,725000.0,65,69,53,84,58,48,Normal,65
11513,239135,30,187.96,78.9,600000.0,59,64,50,62,60,55,Normal,66
8265,245634,22,167.64,59.0,450000.0,55,66,61,84,60,23,Lean,62
7967,237818,20,182.88,68.0,450000.0,25,43,31,70,29,60,Lean,62
8158,238769,23,175.26,64.0,450000.0,43,66,44,77,58,38,Normal,62
